tag_specification,env_id,xml_file,metric_value,metric_name_used,run_name,run_id,run_path,created_at_str,last_updated_str,run_state
Ant-v5 AND airl AND normal_env,Ant-v5,ant.xml,5571.4494,return/test,airl-Ant-v5-normal_env-seed10,l51x11zj,nvanutrecht/Honors Capstone/l51x11zj,20250422-1338,20250422-1816,finished
Ant-v5 AND bc AND normal_env,Ant-v5,ant.xml,4943.0108,return/test,bc-Ant-v5-normal_env-seed0,s2b95ahx,nvanutrecht/Honors Capstone/s2b95ahx,20250416-1614,20250416-1624,finished
Ant-v5 AND gail AND normal_env,Ant-v5,ant.xml,4959.3398,return/test,gail-Ant-v5-normal_env-seed0,v475rd1n,nvanutrecht/Honors Capstone/v475rd1n,20250422-0058,20250422-0320,finished
Hopper-v5 AND airl AND normal_env,Hopper-v5,hopper.xml,3369.7005,return/test,airl-Hopper-v5-normal_env-seed0,mdq9fdgl,nvanutrecht/Honors Capstone/mdq9fdgl,20250407-0133,20250407-0235,finished
Hopper-v5 AND bc AND normal_env,Hopper-v5,hopper.xml,3521.5729,return/test,bc-Hopper-v5-normal_env-seed0,olyq3t1i,nvanutrecht/Honors Capstone/olyq3t1i,20250405-0304,20250405-0305,finished
Hopper-v5 AND gail AND normal_env,Hopper-v5,hopper.xml,3478.5733,return/test,gail-Hopper-v5-normal_env-seed0,jvw49us9,nvanutrecht/Honors Capstone/jvw49us9,20250407-0739,20250407-0842,finished
InvertedPendulum-v5 AND airl AND normal_env,InvertedPendulum-v5,invpend.xml,1000.0000,return/test,airl-InvertedPendulum-v5-normal_env-seed10,xkgdjj1i,nvanutrecht/Honors Capstone/xkgdjj1i,20250421-2312,20250421-2316,killed
InvertedPendulum-v5 AND bc AND normal_env,InvertedPendulum-v5,invpend.xml,1000.0000,return/test,bc-InvertedPendulum-v5-normal_env-seed0,ie1f8kf8,nvanutrecht/Honors Capstone/ie1f8kf8,20250407-0101,20250407-0104,finished
InvertedPendulum-v5 AND gail AND normal_env,InvertedPendulum-v5,invpend.xml,1000.0000,return/test,gail-InvertedPendulum-v5-normal_env-seed0,qg7xtovn,nvanutrecht/Honors Capstone/qg7xtovn,20250407-0737,20250407-0739,finished
Pusher-v5 AND airl AND normal_env,Pusher-v5,pusher.xml,-34.7089,return/test,airl-Pusher-v5-normal_env-seed0,x60ctnv9,nvanutrecht/Honors Capstone/x60ctnv9,20250414-2214,20250415-0223,finished
Pusher-v5 AND bc AND normal_env,Pusher-v5,pusher.xml,-29.1244,return/test,bc-Pusher-v5-normal_env-seed0,meavv79y,nvanutrecht/Honors Capstone/meavv79y,20250416-1625,20250416-1630,finished
Pusher-v5 AND gail AND normal_env,Pusher-v5,pusher.xml,-36.5622,return/test,gail-Pusher-v5-normal_env-seed0,kabk93r8,nvanutrecht/Honors Capstone/kabk93r8,20250407-1103,20250407-1158,finished
friction_m20_hopper,Hopper-v5,hopper_friction_m20.xml,2981.1227,return/test,sac-Hopper-v5-friction_m20_hopper-seed0,ny4d80ba,nvanutrecht/Honors Capstone/ny4d80ba,20250410-1026,20250410-1158,finished
friction_m50_hopper,Hopper-v5,hopper_friction_m50.xml,2838.2840,eval/mean_reward,sb3-sac-Hopper-v5-friction_m50_hopper-seed0,lf4le8hi,nvanutrecht/Honors Capstone/lf4le8hi,20250425-1517,20250425-1729,finished
gear_m20_ant,Ant-v5,ant_gear_m20.xml,5215.5366,eval/mean_reward,sb3-sac-Ant-v5-gear_m20_ant-seed0,tuua5f9r,nvanutrecht/Honors Capstone/tuua5f9r,20250425-0424,20250425-0631,finished
gear_m50_ant,Ant-v5,ant_gear_m50.xml,3022.1980,eval/mean_reward,sb3-sac-Ant-v5-gear_m50_ant-seed0,2cwvext4,nvanutrecht/Honors Capstone/2cwvext4,20250416-2255,20250417-0119,finished
gravity_p20_invpend,InvertedPendulum-v5,invpend_gravity_p20.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-gravity_p20_invpend-seed0,dl0gkqpw,nvanutrecht/Honors Capstone/dl0gkqpw,20250425-1729,20250425-1802,finished
gravity_p50_invpend,InvertedPendulum-v5,invpend_gravity_p50.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-gravity_p50_invpend-seed0,72cbwpsw,nvanutrecht/Honors Capstone/72cbwpsw,20250425-1802,20250425-1834,finished
modified_reward_ant,Ant-v5,ant.xml,3195.8630,eval/mean_reward,sb3-sac-Ant-v5-modified_reward_ant-seed0,v9mcagoo,nvanutrecht/Honors Capstone/v9mcagoo,20250423-1415,20250423-2215,crashed
modified_reward_friction_m20_hopper,Hopper-v5,hopper_friction_m20.xml,2002.1307,eval/mean_reward,sb3-sac-Hopper-v5-modified_reward_friction_m20_hopper-seed0,q1jerbv4,nvanutrecht/Honors Capstone/q1jerbv4,20250425-0708,20250425-0925,finished
modified_reward_friction_m50_hopper,Hopper-v5,hopper_friction_m50.xml,881.9719,eval/mean_reward,sb3-sac-Hopper-v5-modified_reward_friction_m50_hopper-seed0,nm2p2kfs,nvanutrecht/Honors Capstone/nm2p2kfs,20250425-0925,20250425-1132,finished
modified_reward_gear_m20_ant,Ant-v5,ant_gear_m20.xml,2315.8235,eval/mean_reward,sb3-sac-Ant-v5-modified_reward_gear_m20_ant-seed0,fi2zc573,nvanutrecht/Honors Capstone/fi2zc573,20250426-0908,20250426-1600,finished
modified_reward_gear_m50_ant,Ant-v5,ant_gear_m50.xml,-520.5126,eval/mean_reward,sb3-sac-Ant-v5-modified_reward_gear_m50_ant-seed0,1d1r4247,nvanutrecht/Honors Capstone/1d1r4247,20250426-1600,20250426-2303,finished
modified_reward_gravity_p20_invpend,InvertedPendulum-v5,invpend_gravity_p20.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-modified_reward_gravity_p20_invpend-seed0,scyg5uwx,nvanutrecht/Honors Capstone/scyg5uwx,20250428-1659,20250428-1734,finished
modified_reward_gravity_p50_invpend,InvertedPendulum-v5,invpend_gravity_p50.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-modified_reward_gravity_p50_invpend-seed0,tp8w2zft,nvanutrecht/Honors Capstone/tp8w2zft,20250428-1734,20250428-1810,finished
modified_reward_hopper,Hopper-v5,hopper.xml,3431.7358,eval/mean_reward,sb3-sac-Hopper-v5-modified_reward_hopper-seed0,mut086j4,nvanutrecht/Honors Capstone/mut086j4,20250422-0150,20250422-0614,finished
modified_reward_invpend,InvertedPendulum-v5,invpend.xml,1000.0000,return/test,sac-InvertedPendulum-v5-modified_reward_invpend-seed0,6xa0c5ml,nvanutrecht/Honors Capstone/6xa0c5ml,20250411-1925,20250411-1953,killed
modified_reward_pole_mass_p20_invpend,InvertedPendulum-v5,invpend_pole_mass_p20.xml,1000.0000,return/test,sac-InvertedPendulum-v5-modified_reward_pole_mass_p20_invpend-seed0,78k5cf24,nvanutrecht/Honors Capstone/78k5cf24,20250409-2322,20250409-2345,finished
modified_reward_pole_mass_p50_invpend,InvertedPendulum-v5,invpend_pole_mass_p50.xml,1000.0000,return/test,sac-InvertedPendulum-v5-modified_reward_pole_mass_p50_invpend-seed0,rrr8ukdb,nvanutrecht/Honors Capstone/rrr8ukdb,20250409-2346,20250410-0008,finished
modified_reward_puck_mass_p20_pusher,Pusher-v5,pusher_puck_mass_p20.xml,-56.7758,return/test,sac-Pusher-v5-modified_reward_puck_mass_p20_pusher-seed0,9q95q27z,nvanutrecht/Honors Capstone/9q95q27z,20250410-1709,20250410-1838,finished
modified_reward_puck_mass_p50_pusher,Pusher-v5,pusher_puck_mass_p50.xml,-61.7725,return/test,sac-Pusher-v5-modified_reward_puck_mass_p50_pusher-seed0,0bgcbjwe,nvanutrecht/Honors Capstone/0bgcbjwe,20250410-1839,20250410-2008,finished
modified_reward_pusher,Pusher-v5,pusher.xml,-51.2086,return/test,sac-Pusher-v5-modified_reward_pusher-seed0,6jpzgxgh,nvanutrecht/Honors Capstone/6jpzgxgh,20250408-0319,20250408-0500,finished
modified_reward_torso_mass_p20_ant,Ant-v5,ant_torso_mass_p20.xml,1138.9198,eval/mean_reward,sb3-sac-Ant-v5-modified_reward_torso_mass_p20_ant-seed0,a126hf2t,nvanutrecht/Honors Capstone/a126hf2t,20250425-1832,20250426-0153,finished
modified_reward_torso_mass_p20_hopper,Hopper-v5,hopper_torso_mass_p20.xml,2813.0220,eval/mean_reward,sb3-sac-Hopper-v5-modified_reward_torso_mass_p20_hopper-seed0,5917png1,nvanutrecht/Honors Capstone/5917png1,20250425-0225,20250425-0445,finished
modified_reward_torso_mass_p50_ant,Ant-v5,ant_torso_mass_p50.xml,3.3368,return/test,sac-Ant-v5-modified_reward_torso_mass_p50_ant-seed0,chd676cv,nvanutrecht/Honors Capstone/chd676cv,20250410-1052,20250410-1226,finished
modified_reward_torso_mass_p50_hopper,Hopper-v5,hopper_torso_mass_p50.xml,2985.6170,eval/mean_reward,sb3-sac-Hopper-v5-modified_reward_torso_mass_p50_hopper-seed0,qhhjw19s,nvanutrecht/Honors Capstone/qhhjw19s,20250425-0445,20250425-0708,finished
pole_mass_p20_invpend,InvertedPendulum-v5,invpend_pole_mass_p20.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-pole_mass_p20_invpend-seed0,ey56wter,nvanutrecht/Honors Capstone/ey56wter,20250417-1017,20250417-1050,finished
pole_mass_p50_invpend,InvertedPendulum-v5,invpend_pole_mass_p50.xml,1000.0000,eval/mean_reward,sb3-sac-InvertedPendulum-v5-pole_mass_p50_invpend-seed0,j8hftcsw,nvanutrecht/Honors Capstone/j8hftcsw,20250417-1050,20250417-1123,finished
puck_mass_p20_pusher,Pusher-v5,pusher_puck_mass_p20.xml,-22.8730,eval/mean_reward,sb3-sac-Pusher-v5-puck_mass_p20_pusher-seed0,fqbhnabk,nvanutrecht/Honors Capstone/fqbhnabk,20250417-1123,20250417-1337,finished
puck_mass_p50_pusher,Pusher-v5,pusher_puck_mass_p50.xml,-31.3861,return/test,sac-Pusher-v5-puck_mass_p50_pusher-seed0,beg53jf6,nvanutrecht/Honors Capstone/beg53jf6,20250410-1550,20250410-1721,finished
torso_mass_p20_ant,Ant-v5,ant_torso_mass_p20.xml,3403.1938,eval/mean_reward,sb3-sac-Ant-v5-torso_mass_p20_ant-seed0,p7enqx0t,nvanutrecht/Honors Capstone/p7enqx0t,20250424-2352,20250425-0212,finished
